movieId,title,avg_rating,review,token_count_raw,clean_review,token_count_clean
356,Forrest Gump (1994),4.164133738601824,Tom Hanks delivers one of the most heartwarming performances I've ever seen. This movie made me laugh and cry within minutes of each other.,24,tom hanks delivers heartwarming performances ever laugh cry within minutes,10
356,Forrest Gump (1994),4.164133738601824,Absolutely beautiful film. The way it weaves through American history is just magical.,13,absolutely beautiful weaves american history magical,6
356,Forrest Gump (1994),4.164133738601824,I've watched this movie at least ten times and it never gets old. 'Life is like a box of chocolates' is genuinely profound.,23,least ten times gets old life box chocolates genuinely profound,10
356,Forrest Gump (1994),4.164133738601824,"Honestly overrated. It's sentimental to the point of being manipulative, and the politics are weirdly conservative.",16,honestly overrated sentimental point manipulative politics weirdly conservative,8
356,Forrest Gump (1994),4.164133738601824,A touching story but I found the pace too slow in the middle sections. Still enjoyable overall.,17,touching story found pace slow middle sections enjoyable overall,9
356,Forrest Gump (1994),4.164133738601824,"One of the greatest films ever made. Simple, profound, and endlessly rewatchable.",12,greatest films ever simple profound endlessly rewatchable,7
356,Forrest Gump (1994),4.164133738601824,Sappy and saccharine. Everyone loves this movie and I just don't understand why.,13,sappy saccharine everyone loves understand,5
356,Forrest Gump (1994),4.164133738601824,Visually stunning for its era and emotionally affecting. A masterpiece of popular cinema.,13,visually stunning era emotionally affecting masterpiece popular cinema,8
318,"Shawshank Redemption, The (1994)",4.429022082018927,"The greatest movie ever made, period. The story of hope and friendship is timeless.",14,greatest ever period story hope friendship timeless,7
318,"Shawshank Redemption, The (1994)",4.429022082018927,Morgan Freeman's narration alone is worth watching the film for. Absolutely phenomenal.,12,morgan freeman narration alone worth absolutely phenomenal,7
318,"Shawshank Redemption, The (1994)",4.429022082018927,I went in skeptical of the hype and came out completely converted. This movie earns every single star.,18,went skeptical hype came completely converted earns single star,9
318,"Shawshank Redemption, The (1994)",4.429022082018927,"A bit slow for modern tastes, but the payoff is incredible. Essential cinema.",13,slow modern tastes payoff incredible essential cinema,7
318,"Shawshank Redemption, The (1994)",4.429022082018927,Overlong but ultimately moving. The prison setting gives it a gritty authenticity.,12,overlong ultimately moving prison setting gives gritty authenticity,8
318,"Shawshank Redemption, The (1994)",4.429022082018927,I've rarely been so emotionally destroyed by a film in such a good way. A true masterwork.,17,rarely emotionally destroyed good true masterwork,6
318,"Shawshank Redemption, The (1994)",4.429022082018927,Not as great as people say. It's a good movie but not deserving of its legendary status.,17,great people good deserving legendary status,6
318,"Shawshank Redemption, The (1994)",4.429022082018927,"Beautiful, haunting, and deeply human. Every performance is pitch-perfect.",9,beautiful haunting deeply human performance pitch perfect,7
296,Pulp Fiction (1994),4.197068403908795,Tarantino at his absolute best. Non-linear storytelling done perfectly.,9,tarantino absolute best non linear storytelling done perfectly,8
296,Pulp Fiction (1994),4.197068403908795,The dialogue is so sharp it feels like poetry. A genuine landmark of cinema.,14,dialogue sharp feels poetry genuine landmark cinema,7
296,Pulp Fiction (1994),4.197068403908795,"Violent, shocking, and utterly brilliant. Changed movies forever.",8,violent shocking utterly brilliant changed movies forever,7
296,Pulp Fiction (1994),4.197068403908795,I found it gratuitous and exhausting. The 'cool' factor wears thin after the first hour.,15,found gratuitous exhausting cool factor wears thin hour,8
296,Pulp Fiction (1994),4.197068403908795,The ensemble cast is incredible. Every scene crackles with energy.,10,ensemble cast incredible scene crackles energy,6
296,Pulp Fiction (1994),4.197068403908795,Overrated hipster cinema. The violence is cartoonish and the plot is a mess.,13,overrated hipster cinema violence cartoonish plot mess,7
296,Pulp Fiction (1994),4.197068403908795,The Sam Jackson monologue scene alone puts this in the pantheon of great films.,14,sam jackson monologue scene alone puts pantheon great films,9
296,Pulp Fiction (1994),4.197068403908795,A dazzling piece of filmmaking. Like nothing that came before it.,11,dazzling piece filmmaking came,4
593,"Silence of the Lambs, The (1991)",4.161290322580645,Anthony Hopkins is terrifyingly perfect. One of cinema's greatest villains.,10,anthony hopkins terrifyingly perfect cinema greatest villains,7
593,"Silence of the Lambs, The (1991)",4.161290322580645,A masterclass in building tension. I was on the edge of my seat throughout.,14,masterclass building tension edge seat throughout,6
593,"Silence of the Lambs, The (1991)",4.161290322580645,Jodie Foster is phenomenal. The dynamic between Starling and Lecter is unforgettable.,12,jodie foster phenomenal dynamic starling lecter unforgettable,7
593,"Silence of the Lambs, The (1991)",4.161290322580645,Deeply unsettling in the best possible way. Brilliant horror filmmaking.,10,deeply unsettling best possible brilliant horror filmmaking,7
593,"Silence of the Lambs, The (1991)",4.161290322580645,Too slow for a horror movie. Though the final act is genuinely terrifying.,13,slow horror final act genuinely terrifying,6
593,"Silence of the Lambs, The (1991)",4.161290322580645,The chemistry between Hopkins and Foster elevates this above standard thriller fare.,12,chemistry hopkins foster elevates standard thriller fare,7
593,"Silence of the Lambs, The (1991)",4.161290322580645,"One of those rare films where every element — score, cinematography, acting — is perfect.",15,rare films element score cinematography acting perfect,7
593,"Silence of the Lambs, The (1991)",4.161290322580645,Disturbing and smart. The kind of film that stays with you for days.,13,disturbing smart kind stays days,5
2571,"Matrix, The (1999)",4.192446043165468,Mind-blowing when it came out and still holds up today. The bullet time effect was revolutionary.,16,mind blowing came holds today bullet effect revolutionary,8
2571,"Matrix, The (1999)",4.192446043165468,"The perfect blend of philosophy, action, and style. An absolute classic.",11,perfect blend philosophy action style absolute classic,7
2571,"Matrix, The (1999)",4.192446043165468,Keanu Reeves is perfectly cast. The action sequences are still breathtaking.,11,keanu reeves perfectly cast action sequences breathtaking,7
2571,"Matrix, The (1999)",4.192446043165468,The first half is incredible but it loses steam in the action-heavy finale.,13,half incredible loses steam action heavy finale,7
2571,"Matrix, The (1999)",4.192446043165468,Overrated sci-fi with a pretentious philosophical veneer. The sequels ruined it.,11,overrated sci pretentious philosophical veneer sequels ruined,7
2571,"Matrix, The (1999)",4.192446043165468,A genuinely mind-expanding concept executed brilliantly. Changed sci-fi forever.,9,genuinely mind expanding concept executed brilliantly changed sci forever,9
2571,"Matrix, The (1999)",4.192446043165468,Some of the best action choreography ever put on film. The lobby scene is iconic.,15,best action choreography ever put lobby scene iconic,8
2571,"Matrix, The (1999)",4.192446043165468,A landmark film. The way it combines ideas with spectacle is still unmatched.,13,landmark combines ideas spectacle unmatched,5
260,Star Wars: Episode IV - A New Hope (1977),4.231075697211155,The film that changed everything. Pure cinematic magic from start to finish.,12,changed pure cinematic magic start finish,6
260,Star Wars: Episode IV - A New Hope (1977),4.231075697211155,My childhood defined in two hours. Watching it still gives me chills.,12,childhood defined hours gives chills,5
260,Star Wars: Episode IV - A New Hope (1977),4.231075697211155,George Lucas created something extraordinary. The world-building is unparalleled.,9,george lucas created extraordinary world building unparalleled,7
260,Star Wars: Episode IV - A New Hope (1977),4.231075697211155,Dated by today's standards but the sense of adventure is timeless.,11,dated today standards sense adventure timeless,6
260,Star Wars: Episode IV - A New Hope (1977),4.231075697211155,"The special effects are showing their age, but the heart of the story is eternal.",15,special effects showing age heart story eternal,7
260,Star Wars: Episode IV - A New Hope (1977),4.231075697211155,This movie invented the modern blockbuster and it's still better than almost all its descendants.,15,invented modern blockbuster better almost descendants,6
260,Star Wars: Episode IV - A New Hope (1977),4.231075697211155,A bit slow to start but once it picks up it's unstoppable fun.,13,slow start picks unstoppable fun,5
260,Star Wars: Episode IV - A New Hope (1977),4.231075697211155,The John Williams score alone makes this one of the greatest films ever made.,14,john williams score alone makes greatest films ever,8
480,Jurassic Park (1993),3.75,The dinosaurs still look incredible 30 years later. Spielberg is a genius.,12,dinosaurs look incredible years later spielberg genius,7
480,Jurassic Park (1993),3.75,"Pure blockbuster perfection. Thrilling, funny, and visually spectacular.",8,pure blockbuster perfection thrilling funny visually spectacular,7
480,Jurassic Park (1993),3.75,My favorite summer movie of all time. The T-Rex scene is the greatest jump scare ever.,16,favorite summer rex scene greatest jump scare ever,8
480,Jurassic Park (1993),3.75,Exciting but thin on character development. Still enormously fun.,9,exciting thin character development enormously fun,6
480,Jurassic Park (1993),3.75,A technical marvel that delivers genuine thrills. Essential family entertainment.,10,technical marvel delivers genuine thrills essential family entertainment,8
480,Jurassic Park (1993),3.75,The CGI holds up remarkably well. A testament to Spielberg's craft.,11,cgi holds remarkably testament spielberg craft,6
480,Jurassic Park (1993),3.75,Decent popcorn fun but hardly the classic people claim it is.,11,decent popcorn fun hardly classic people claim,7
480,Jurassic Park (1993),3.75,Groundbreaking visual effects married to a genuinely exciting adventure story.,10,groundbreaking visual effects married genuinely exciting adventure story,8
110,Braveheart (1995),4.031645569620253,"Epic, rousing, and emotionally powerful. Mel Gibson's finest directorial achievement.",10,epic rousing emotionally powerful mel gibson finest directorial achievement,9
110,Braveheart (1995),4.031645569620253,FREEDOM! Still gives me goosebumps. The battle scenes are extraordinary.,10,freedom gives goosebumps battle scenes extraordinary,6
110,Braveheart (1995),4.031645569620253,Historically inaccurate but cinematically magnificent. A rousing epic.,8,historically inaccurate cinematically magnificent rousing epic,6
110,Braveheart (1995),4.031645569620253,Too long and overwrought. The romance subplot drags the whole film down.,12,long overwrought romance subplot drags whole,6
110,Braveheart (1995),4.031645569620253,Gibson was born to play William Wallace. The passion bleeds through every frame.,13,gibson born play william wallace passion bleeds frame,8
110,Braveheart (1995),4.031645569620253,Brutal and beautiful. One of the last great Hollywood epics.,10,brutal beautiful last great hollywood epics,6
110,Braveheart (1995),4.031645569620253,"Manipulative and melodramatic, but it absolutely works. I cried multiple times.",11,manipulative melodramatic absolutely works cried multiple times,7
110,Braveheart (1995),4.031645569620253,Spectacular filmmaking with genuine emotional weight. Deserved its Oscar.,9,spectacular filmmaking genuine emotional weight deserved oscar,7
589,Terminator 2: Judgment Day (1991),3.970982142857143,"The greatest action sequel ever made. Bigger, smarter, and more emotional than the original.",14,greatest action sequel ever bigger smarter emotional original,8
589,Terminator 2: Judgment Day (1991),3.970982142857143,Arnold's best performance. The liquid metal T-1000 is still the gold standard of movie villains.,15,arnold best performance liquid metal gold standard villains,8
589,Terminator 2: Judgment Day (1991),3.970982142857143,Revolutionized visual effects and still delivers incredible action 30 years on.,11,revolutionized visual effects delivers incredible action years,7
589,Terminator 2: Judgment Day (1991),3.970982142857143,A rare sequel that surpasses the original in every way.,10,rare sequel surpasses original,4
589,Terminator 2: Judgment Day (1991),3.970982142857143,The effects are amazing but the story is weaker than the first film.,13,effects amazing story weaker,4
589,Terminator 2: Judgment Day (1991),3.970982142857143,Linda Hamilton's transformation is one of cinema's great character arcs.,10,linda hamilton transformation cinema great character arcs,7
589,Terminator 2: Judgment Day (1991),3.970982142857143,Pulse-pounding action combined with genuine emotional stakes. A masterpiece of the genre.,12,pulse pounding action combined genuine emotional stakes masterpiece genre,9
589,Terminator 2: Judgment Day (1991),3.970982142857143,The highway chase sequence is still the most thrilling action scene I've ever witnessed.,14,highway chase sequence thrilling action scene ever witnessed,8
527,Schindler's List (1993),4.225,The most important film ever made. Devastating and necessary.,9,important ever devastating necessary,4
527,Schindler's List (1993),4.225,Spielberg's masterpiece. The black and white photography is hauntingly beautiful.,10,spielberg masterpiece black white photography hauntingly beautiful,7
527,Schindler's List (1993),4.225,I haven't been able to stop thinking about this film since I watched it.,14,able stop thinking since,4
527,Schindler's List (1993),4.225,Heartbreaking and essential. Every human being should watch this film.,10,heartbreaking essential human,3
527,Schindler's List (1993),4.225,Brilliant filmmaking in service of an absolutely crucial historical story.,10,brilliant filmmaking service absolutely crucial historical story,7
527,Schindler's List (1993),4.225,Almost too painful to watch but impossible to look away from. A genuine masterwork.,14,almost painful impossible look away genuine masterwork,7
527,Schindler's List (1993),4.225,The ending destroyed me completely. A profound and overwhelming experience.,10,ending destroyed completely profound overwhelming experience,6
527,Schindler's List (1993),4.225,Dense and heavy but never exploitative. Handled with extraordinary care and artistry.,12,dense heavy exploitative handled extraordinary care artistry,7
