movieId,title,avg_rating,review,clean_review,compound,pos,neg,neu,sentiment_label
356,Forrest Gump (1994),4.164133738601824,Tom Hanks delivers one of the most heartwarming performances I've ever seen. This movie made me laugh and cry within minutes of each other.,tom hanks delivers one of the most heartwarming performances i've ever seen. this movie made me laugh and cry within minutes of each other.,0.5984,0.225,0.1,0.675,positive
356,Forrest Gump (1994),4.164133738601824,Absolutely beautiful film. The way it weaves through American history is just magical.,absolutely beautiful film. the way it weaves through american history is just magical.,0.6361,0.259,0.0,0.741,positive
356,Forrest Gump (1994),4.164133738601824,I've watched this movie at least ten times and it never gets old. 'Life is like a box of chocolates' is genuinely profound.,i've watched this movie at least ten times and it never gets old. 'life is like a box of chocolates' is genuinely profound.,0.3612,0.102,0.0,0.898,positive
356,Forrest Gump (1994),4.164133738601824,"Honestly overrated. It's sentimental to the point of being manipulative, and the politics are weirdly conservative.","honestly overrated. it's sentimental to the point of being manipulative, and the politics are weirdly conservative.",0.4767,0.259,0.107,0.634,positive
356,Forrest Gump (1994),4.164133738601824,A touching story but I found the pace too slow in the middle sections. Still enjoyable overall.,a touching story but i found the pace too slow in the middle sections. still enjoyable overall.,0.5927,0.194,0.0,0.806,positive
356,Forrest Gump (1994),4.164133738601824,"One of the greatest films ever made. Simple, profound, and endlessly rewatchable.","one of the greatest films ever made. simple, profound, and endlessly rewatchable.",0.6369,0.276,0.0,0.724,positive
356,Forrest Gump (1994),4.164133738601824,Sappy and saccharine. Everyone loves this movie and I just don't understand why.,sappy and saccharine. everyone loves this movie and i just don't understand why.,0.4019,0.222,0.12,0.659,positive
356,Forrest Gump (1994),4.164133738601824,Visually stunning for its era and emotionally affecting. A masterpiece of popular cinema.,visually stunning for its era and emotionally affecting. a masterpiece of popular cinema.,0.8591,0.487,0.0,0.513,positive
318,"Shawshank Redemption, The (1994)",4.429022082018927,"The greatest movie ever made, period. The story of hope and friendship is timeless.","the greatest movie ever made, period. the story of hope and friendship is timeless.",0.875,0.476,0.0,0.524,positive
318,"Shawshank Redemption, The (1994)",4.429022082018927,Morgan Freeman's narration alone is worth watching the film for. Absolutely phenomenal.,morgan freeman's narration alone is worth watching the film for. absolutely phenomenal.,-0.0258,0.137,0.144,0.719,neutral
318,"Shawshank Redemption, The (1994)",4.429022082018927,I went in skeptical of the hype and came out completely converted. This movie earns every single star.,i went in skeptical of the hype and came out completely converted. this movie earns every single star.,-0.3182,0.0,0.119,0.881,negative
318,"Shawshank Redemption, The (1994)",4.429022082018927,"A bit slow for modern tastes, but the payoff is incredible. Essential cinema.","a bit slow for modern tastes, but the payoff is incredible. essential cinema.",0.0,0.0,0.0,1.0,neutral
318,"Shawshank Redemption, The (1994)",4.429022082018927,Overlong but ultimately moving. The prison setting gives it a gritty authenticity.,overlong but ultimately moving. the prison setting gives it a gritty authenticity.,-0.6652,0.0,0.288,0.712,negative
318,"Shawshank Redemption, The (1994)",4.429022082018927,I've rarely been so emotionally destroyed by a film in such a good way. A true masterwork.,i've rarely been so emotionally destroyed by a film in such a good way. a true masterwork.,0.3008,0.246,0.15,0.604,positive
318,"Shawshank Redemption, The (1994)",4.429022082018927,Not as great as people say. It's a good movie but not deserving of its legendary status.,not as great as people say. it's a good movie but not deserving of its legendary status.,-0.0508,0.102,0.112,0.785,negative
318,"Shawshank Redemption, The (1994)",4.429022082018927,"Beautiful, haunting, and deeply human. Every performance is pitch-perfect.","beautiful, haunting, and deeply human. every performance is pitchperfect.",0.4215,0.3,0.162,0.538,positive
296,Pulp Fiction (1994),4.197068403908795,Tarantino at his absolute best. Non-linear storytelling done perfectly.,tarantino at his absolute best. nonlinear storytelling done perfectly.,0.8555,0.545,0.0,0.455,positive
296,Pulp Fiction (1994),4.197068403908795,The dialogue is so sharp it feels like poetry. A genuine landmark of cinema.,the dialogue is so sharp it feels like poetry. a genuine landmark of cinema.,0.4215,0.241,0.0,0.759,positive
296,Pulp Fiction (1994),4.197068403908795,"Violent, shocking, and utterly brilliant. Changed movies forever.","violent, shocking, and utterly brilliant. changed movies forever.",-0.3626,0.261,0.421,0.319,negative
296,Pulp Fiction (1994),4.197068403908795,I found it gratuitous and exhausting. The 'cool' factor wears thin after the first hour.,i found it gratuitous and exhausting. the 'cool' factor wears thin after the first hour.,-0.0516,0.129,0.14,0.73,negative
296,Pulp Fiction (1994),4.197068403908795,The ensemble cast is incredible. Every scene crackles with energy.,the ensemble cast is incredible. every scene crackles with energy.,0.2732,0.189,0.0,0.811,positive
296,Pulp Fiction (1994),4.197068403908795,Overrated hipster cinema. The violence is cartoonish and the plot is a mess.,overrated hipster cinema. the violence is cartoonish and the plot is a mess.,-0.765,0.0,0.375,0.625,negative
296,Pulp Fiction (1994),4.197068403908795,The Sam Jackson monologue scene alone puts this in the pantheon of great films.,the sam jackson monologue scene alone puts this in the pantheon of great films.,0.4767,0.227,0.11,0.663,positive
296,Pulp Fiction (1994),4.197068403908795,A dazzling piece of filmmaking. Like nothing that came before it.,a dazzling piece of filmmaking. like nothing that came before it.,0.3612,0.2,0.0,0.8,positive
593,"Silence of the Lambs, The (1991)",4.161290322580645,Anthony Hopkins is terrifyingly perfect. One of cinema's greatest villains.,anthony hopkins is terrifyingly perfect. one of cinema's greatest villains.,0.5423,0.409,0.228,0.363,positive
593,"Silence of the Lambs, The (1991)",4.161290322580645,A masterclass in building tension. I was on the edge of my seat throughout.,a masterclass in building tension. i was on the edge of my seat throughout.,-0.3182,0.0,0.15,0.85,negative
593,"Silence of the Lambs, The (1991)",4.161290322580645,Jodie Foster is phenomenal. The dynamic between Starling and Lecter is unforgettable.,jodie foster is phenomenal. the dynamic between starling and lecter is unforgettable.,0.3818,0.191,0.0,0.809,positive
593,"Silence of the Lambs, The (1991)",4.161290322580645,Deeply unsettling in the best possible way. Brilliant horror filmmaking.,deeply unsettling in the best possible way. brilliant horror filmmaking.,0.6486,0.428,0.198,0.374,positive
593,"Silence of the Lambs, The (1991)",4.161290322580645,Too slow for a horror movie. Though the final act is genuinely terrifying.,too slow for a horror movie. though the final act is genuinely terrifying.,-0.8126,0.0,0.402,0.598,negative
593,"Silence of the Lambs, The (1991)",4.161290322580645,The chemistry between Hopkins and Foster elevates this above standard thriller fare.,the chemistry between hopkins and foster elevates this above standard thriller fare.,0.1027,0.113,0.0,0.887,positive
593,"Silence of the Lambs, The (1991)",4.161290322580645,"One of those rare films where every element — score, cinematography, acting — is perfect.","one of those rare films where every element score, cinematography, acting is perfect.",0.5719,0.236,0.0,0.764,positive
593,"Silence of the Lambs, The (1991)",4.161290322580645,Disturbing and smart. The kind of film that stays with you for days.,disturbing and smart. the kind of film that stays with you for days.,-0.1531,0.159,0.194,0.647,negative
2571,"Matrix, The (1999)",4.192446043165468,Mind-blowing when it came out and still holds up today. The bullet time effect was revolutionary.,mindblowing when it came out and still holds up today. the bullet time effect was revolutionary.,0.0,0.0,0.0,1.0,neutral
2571,"Matrix, The (1999)",4.192446043165468,"The perfect blend of philosophy, action, and style. An absolute classic.","the perfect blend of philosophy, action, and style. an absolute classic.",0.5719,0.27,0.0,0.73,positive
2571,"Matrix, The (1999)",4.192446043165468,Keanu Reeves is perfectly cast. The action sequences are still breathtaking.,keanu reeves is perfectly cast. the action sequences are still breathtaking.,0.802,0.444,0.0,0.556,positive
2571,"Matrix, The (1999)",4.192446043165468,The first half is incredible but it loses steam in the action-heavy finale.,the first half is incredible but it loses steam in the actionheavy finale.,-0.518,0.0,0.218,0.782,negative
2571,"Matrix, The (1999)",4.192446043165468,Overrated sci-fi with a pretentious philosophical veneer. The sequels ruined it.,overrated scifi with a pretentious philosophical veneer. the sequels ruined it.,-0.4767,0.0,0.237,0.763,negative
2571,"Matrix, The (1999)",4.192446043165468,A genuinely mind-expanding concept executed brilliantly. Changed sci-fi forever.,a genuinely mindexpanding concept executed brilliantly. changed scifi forever.,0.6124,0.333,0.0,0.667,positive
2571,"Matrix, The (1999)",4.192446043165468,Some of the best action choreography ever put on film. The lobby scene is iconic.,some of the best action choreography ever put on film. the lobby scene is iconic.,0.6486,0.29,0.0,0.71,positive
2571,"Matrix, The (1999)",4.192446043165468,A landmark film. The way it combines ideas with spectacle is still unmatched.,a landmark film. the way it combines ideas with spectacle is still unmatched.,0.0,0.096,0.096,0.809,neutral
260,Star Wars: Episode IV - A New Hope (1977),4.231075697211155,The film that changed everything. Pure cinematic magic from start to finish.,the film that changed everything. pure cinematic magic from start to finish.,0.0,0.0,0.0,1.0,neutral
260,Star Wars: Episode IV - A New Hope (1977),4.231075697211155,My childhood defined in two hours. Watching it still gives me chills.,my childhood defined in two hours. watching it still gives me chills.,0.0,0.0,0.0,1.0,neutral
260,Star Wars: Episode IV - A New Hope (1977),4.231075697211155,George Lucas created something extraordinary. The world-building is unparalleled.,george lucas created something extraordinary. the worldbuilding is unparalleled.,0.25,0.2,0.0,0.8,positive
260,Star Wars: Episode IV - A New Hope (1977),4.231075697211155,Dated by today's standards but the sense of adventure is timeless.,dated by today's standards but the sense of adventure is timeless.,0.4497,0.228,0.0,0.772,positive
260,Star Wars: Episode IV - A New Hope (1977),4.231075697211155,"The special effects are showing their age, but the heart of the story is eternal.","the special effects are showing their age, but the heart of the story is eternal.",0.8248,0.37,0.0,0.63,positive
260,Star Wars: Episode IV - A New Hope (1977),4.231075697211155,This movie invented the modern blockbuster and it's still better than almost all its descendants.,this movie invented the modern blockbuster and it's still better than almost all its descendants.,0.7783,0.343,0.0,0.657,positive
260,Star Wars: Episode IV - A New Hope (1977),4.231075697211155,A bit slow to start but once it picks up it's unstoppable fun.,a bit slow to start but once it picks up it's unstoppable fun.,0.5023,0.252,0.125,0.623,positive
260,Star Wars: Episode IV - A New Hope (1977),4.231075697211155,The John Williams score alone makes this one of the greatest films ever made.,the john williams score alone makes this one of the greatest films ever made.,0.4939,0.231,0.11,0.659,positive
480,Jurassic Park (1993),3.75,The dinosaurs still look incredible 30 years later. Spielberg is a genius.,the dinosaurs still look incredible years later. spielberg is a genius.,0.0,0.0,0.0,1.0,neutral
480,Jurassic Park (1993),3.75,"Pure blockbuster perfection. Thrilling, funny, and visually spectacular.","pure blockbuster perfection. thrilling, funny, and visually spectacular.",0.9274,0.773,0.0,0.227,positive
480,Jurassic Park (1993),3.75,My favorite summer movie of all time. The T-Rex scene is the greatest jump scare ever.,my favorite summer movie of all time. the trex scene is the greatest jump scare ever.,0.6124,0.308,0.137,0.556,positive
480,Jurassic Park (1993),3.75,Exciting but thin on character development. Still enormously fun.,exciting but thin on character development. still enormously fun.,0.7899,0.5,0.0,0.5,positive
480,Jurassic Park (1993),3.75,A technical marvel that delivers genuine thrills. Essential family entertainment.,a technical marvel that delivers genuine thrills. essential family entertainment.,0.7964,0.536,0.0,0.464,positive
480,Jurassic Park (1993),3.75,The CGI holds up remarkably well. A testament to Spielberg's craft.,the cgi holds up remarkably well. a testament to spielberg's craft.,0.3384,0.193,0.0,0.807,positive
480,Jurassic Park (1993),3.75,Decent popcorn fun but hardly the classic people claim it is.,decent popcorn fun but hardly the classic people claim it is.,0.2846,0.177,0.0,0.823,positive
480,Jurassic Park (1993),3.75,Groundbreaking visual effects married to a genuinely exciting adventure story.,groundbreaking visual effects married to a genuinely exciting adventure story.,0.6705,0.407,0.0,0.593,positive
110,Braveheart (1995),4.031645569620253,"Epic, rousing, and emotionally powerful. Mel Gibson's finest directorial achievement.","epic, rousing, and emotionally powerful. mel gibson's finest directorial achievement.",0.4215,0.237,0.0,0.763,positive
110,Braveheart (1995),4.031645569620253,FREEDOM! Still gives me goosebumps. The battle scenes are extraordinary.,freedom! still gives me goosebumps. the battle scenes are extraordinary.,0.4389,0.298,0.172,0.53,positive
110,Braveheart (1995),4.031645569620253,Historically inaccurate but cinematically magnificent. A rousing epic.,historically inaccurate but cinematically magnificent. a rousing epic.,0.7469,0.433,0.0,0.567,positive
110,Braveheart (1995),4.031645569620253,Too long and overwrought. The romance subplot drags the whole film down.,too long and overwrought. the romance subplot drags the whole film down.,0.4404,0.235,0.111,0.654,positive
110,Braveheart (1995),4.031645569620253,Gibson was born to play William Wallace. The passion bleeds through every frame.,gibson was born to play william wallace. the passion bleeds through every frame.,0.6597,0.329,0.0,0.671,positive
110,Braveheart (1995),4.031645569620253,Brutal and beautiful. One of the last great Hollywood epics.,brutal and beautiful. one of the last great hollywood epics.,0.5994,0.419,0.215,0.366,positive
110,Braveheart (1995),4.031645569620253,"Manipulative and melodramatic, but it absolutely works. I cried multiple times.","manipulative and melodramatic, but it absolutely works. i cried multiple times.",-0.5853,0.0,0.275,0.725,negative
110,Braveheart (1995),4.031645569620253,Spectacular filmmaking with genuine emotional weight. Deserved its Oscar.,spectacular filmmaking with genuine emotional weight. deserved its oscar.,0.1531,0.167,0.0,0.833,positive
589,Terminator 2: Judgment Day (1991),3.970982142857143,"The greatest action sequel ever made. Bigger, smarter, and more emotional than the original.","the greatest action sequel ever made. bigger, smarter, and more emotional than the original.",0.8858,0.533,0.0,0.467,positive
589,Terminator 2: Judgment Day (1991),3.970982142857143,Arnold's best performance. The liquid metal T-1000 is still the gold standard of movie villains.,arnold's best performance. the liquid metal t is still the gold standard of movie villains.,-0.0516,0.194,0.204,0.602,negative
589,Terminator 2: Judgment Day (1991),3.970982142857143,Revolutionized visual effects and still delivers incredible action 30 years on.,revolutionized visual effects and still delivers incredible action years on.,0.0,0.0,0.0,1.0,neutral
589,Terminator 2: Judgment Day (1991),3.970982142857143,A rare sequel that surpasses the original in every way.,a rare sequel that surpasses the original in every way.,0.3182,0.204,0.0,0.796,positive
589,Terminator 2: Judgment Day (1991),3.970982142857143,The effects are amazing but the story is weaker than the first film.,the effects are amazing but the story is weaker than the first film.,-0.3506,0.139,0.223,0.638,negative
589,Terminator 2: Judgment Day (1991),3.970982142857143,Linda Hamilton's transformation is one of cinema's great character arcs.,linda hamilton's transformation is one of cinema's great character arcs.,0.6249,0.313,0.0,0.687,positive
589,Terminator 2: Judgment Day (1991),3.970982142857143,Pulse-pounding action combined with genuine emotional stakes. A masterpiece of the genre.,pulsepounding action combined with genuine emotional stakes. a masterpiece of the genre.,0.6908,0.363,0.0,0.637,positive
